hidden0,hidden1,hidden2,hidden3,hidden4,hidden5,hidden6,hidden7,hidden8,hidden9,hidden10,hidden11,hidden12,hidden13,hidden14,hidden15,hidden16,hidden17,hidden18,hidden19,hidden20,hidden21,hidden22,hidden23,hidden24,hidden25
0.000000000000000000e+00,1.532511719525354033e-01,1.248047746768654043e-01,1.189026408551831365e-01,4.800231587049400006e-01,2.917698219100681167e-01,2.638029352241606784e-02,8.992146800261438533e-02,-6.723971686585019647e-01,8.811352310465675464e-02,-1.208766928917594102e-01,5.474597079495329144e-01,3.440668332007897345e-01,-7.850641446608221108e-02,5.326889798318121955e-02,1.100539217367293848e-01,5.274025722655377724e-01,1.717958769930738316e-01,2.295734905229658840e-01,-2.273042412922030575e-01,2.292056161864168551e-01,1.194244170077401884e-01,6.730922670219890991e-02,4.085003829269352460e-01,2.192538681230524478e-01,1.781327034708799217e-01
1.905388178285916806e-02,-6.598141459751979410e-01,-3.603240069782170374e-01,1.795782968714590977e-01,-4.634233941328280704e-01,4.530647127754244829e-01,-2.748707768443806598e-01,-5.309159473893065861e-01,4.580080918406559398e-01,4.978967924891631314e-01,1.484475233853071119e+00,-6.896174314310947739e-01,1.588194298079015909e-01,8.246475474210197554e-01,-2.205620744467761962e-01,5.605993576160288316e-02,-6.206564780215426680e-01,-5.284978726074613942e-01,-8.439493930073803662e-01,-8.486751213680862049e-01,-2.888614688263009822e-01,-5.149388634348214255e-01,-2.607856392323402717e-01,-8.237727998793715756e-01,-6.296190987760675872e-01,3.123261236860510812e-02
8.329189038510584897e-01,-5.771260631881368619e-01,-6.557407869509221943e-01,-7.616276403842194842e-01,-9.046363879359652360e-01,-5.636442262159795102e-02,-3.822912230435854264e-01,-6.925450381520531495e-01,1.361437723264929955e+00,-6.232101494717697809e-01,7.034379416335169166e-01,-8.894419455190673007e-01,-1.042866067586568413e+00,4.244449518177627056e-01,-6.209934840665077838e-01,-3.905586772128110118e-01,-1.003364810705048127e+00,-8.427698476594746024e-01,-8.495954206977752721e-01,1.868338553048060346e-01,-6.905297115643956873e-01,-5.931902993261495283e-01,-7.915742053618373131e-01,-7.872160983217378893e-01,-8.032529180317475870e-01,-5.994597908309716727e-01
6.967940347545952262e-01,-6.068769837017390367e-01,-5.232640102424064299e-01,-4.900513781120547918e-01,-7.770139553423821566e-01,-2.940260563958230766e-01,-3.287827941627276540e-01,-5.084413279014954323e-01,1.041393566169217078e+00,-4.562560278630960475e-01,6.540511192327436163e-01,-7.278514147163566150e-01,-6.180373675139125833e-01,8.154482903486109935e-02,-6.130024716603275081e-01,-3.170453105017089768e-01,-8.210306193127585583e-01,-6.406113315761831073e-01,-5.298699982170931300e-01,2.004283880359863379e-01,-6.436727542881172104e-01,-4.579616952720255152e-01,-5.986215526438640744e-01,-6.171787335741855118e-01,-7.157775934091692438e-01,-6.137915522814192393e-01
7.984023889023748044e-01,-3.615956154987134963e-01,-5.135660592981222683e-01,-9.850406809407589170e-01,-6.518979028615548010e-01,-9.330700872160613280e-01,-6.381015823487977690e-01,-3.964537944223343602e-01,9.393357444244847532e-01,-5.485450415234103261e-01,-1.015578175908049108e+00,-5.962480206352551715e-01,2.449521141268465318e-01,-6.853090271071592410e-01,-4.691234020985187714e-01,-6.359207111323503803e-01,-6.451855282836556071e-01,-3.866441627512451351e-01,-3.996913134714991100e-01,1.168930577413574534e+00,-4.831794244025557905e-01,-4.739886264882000599e-01,-4.846775527844866538e-01,-3.906633642174511256e-01,-6.667477848891739667e-01,-4.609308204692055821e-01
5.958206180380085648e-01,-1.134530947713784516e-01,-2.351543119303049212e-01,-2.290439426713775095e-01,-2.057172370901737546e-01,1.668536815043028809e-01,-4.204692833719824718e-01,-4.513290971870057011e-01,4.393382257868385654e-01,-6.905786157220654697e-01,2.925795755292412426e-01,-2.342744382963459215e-01,-7.620769288268151032e-01,-5.516058045963164735e-01,-2.174263527350833447e-01,-1.054572603275804044e-01,-2.984186370605033667e-01,-3.644765285274089162e-01,-3.042310266112100980e-01,1.014019363064791318e-01,-2.743172135894927921e-01,-1.701268002693183123e-01,-2.154198127517280570e-01,-9.807978616780078929e-02,-2.164486563296016963e-01,-3.475570381518869878e-01
1.449430781804315338e-01,-1.078756322369516907e+00,-1.073651370358731594e+00,2.054899297992687224e+00,-1.739573954464611383e+00,-1.392818675710634224e+00,-6.177023786868643951e-01,-5.845407977666037258e-01,1.390363060417717511e+00,-6.205092138275698499e-01,-6.544098440459013011e-01,-1.698321406978059445e+00,2.091565109302756298e+00,-8.897019194311299728e-01,-8.910773038427518555e-01,1.310841606261935022e+00,-1.755566332046727185e+00,-6.676045630608551384e-01,-6.360762928104355396e-01,5.917678555817925679e-01,-1.432519422090771322e+00,-9.962209300122402134e-01,-2.473759068335220357e-01,-1.445155731068137328e+00,-1.094382714798113776e+00,-1.156016698440361035e+00
4.847124233717240993e-01,-2.245741863920520109e-01,-3.378490875099406376e-01,-4.704758894618443765e-01,-3.432674894822537737e-01,-2.596315090143940241e-01,-2.987744690238252065e-01,-2.596027541843423658e-01,2.717164558929673901e-01,-2.977309362997961895e-01,-3.083775416428581329e-01,-2.811851336019504100e-01,6.989075918811536725e-02,2.150967050034601480e-01,-3.067709433127540075e-01,-2.706664659582633942e-02,-1.258039502708405144e-01,-3.134277755760476181e-01,-3.038040242023625215e-01,4.282074456359604153e-01,-2.112613093112194196e-01,-3.679617899693057859e-01,-4.872184822038077567e-01,-3.263852903155680107e-01,-1.872922415125213846e-01,-4.548197483456536405e-01
1.126112825602649803e+00,-3.469190682038919005e-01,-6.754227021323984115e-01,-2.332567668045914810e-01,-7.777352452306709463e-01,7.255910695126156496e-01,-2.386733090256891177e-01,-6.507090883657306035e-01,1.872124988146983693e+00,-1.046675631028289727e-01,-1.721954440913987527e+00,-1.113258388669835286e+00,-1.319470727000752852e+00,4.105130944490315015e-01,-4.862806149922017096e-01,-1.314650791802614016e+00,-9.133931752437177698e-01,-9.563702797041129244e-01,-9.505667323179175510e-01,-3.791843059675141236e-01,-8.577246926906125779e-01,-6.551864183585506263e-01,-4.512102676569045290e-01,-9.864695913734183863e-01,-5.393571520974280720e-01,-1.352997942667102937e-01
