hidden0,hidden1,hidden2,hidden3,hidden4,hidden5,hidden6,hidden7,hidden8,hidden9,hidden10
0.000000000000000000e+00,1.065120437348418436e+00,9.258493305966805087e-01,9.473258587324557833e-01,1.002022707167855353e+00,8.976202228332297306e-01,9.322840043402835786e-01,9.964643047011713106e-01,7.817461430320177262e-01,9.646341421032558205e-01,8.662622784703839507e-01
2.185561246407289882e-01,-7.375854693281503893e-01,-6.931410747369161074e-01,-7.169439164417956700e-01,-6.762533880643445405e-01,-6.779517393606817599e-01,-7.259570784921158815e-01,-7.329329043770025365e-01,-6.760871543316856469e-01,-6.608061977693385769e-01,-6.652618984682470149e-01
1.713196344336768373e+00,-7.833177027261069014e-01,-7.189129409093568679e-01,-6.962950229524742518e-01,-7.266325889741783728e-01,-7.270739114146738125e-01,-7.254139958630692053e-01,-7.346454272620057679e-01,-7.264407812828874711e-01,-6.870764673623868113e-01,-6.619774281537270655e-01
3.169808039312021486e-01,-6.851889661574902535e-01,-6.525070545502372754e-01,-7.124731116763559635e-01,-6.837008652879141835e-01,-6.172677059950323342e-01,-6.488376207479071844e-01,-6.789368432624099947e-01,-6.285424628000525482e-01,-6.857179987062003157e-01,-6.559112610052736381e-01
6.943710078593812174e-01,-6.064246276687624837e-01,-6.376656893739159893e-01,-5.978323744128420936e-01,-6.812553972406303338e-01,-6.069398386593188865e-01,-6.108855475840372362e-01,-6.675943111468108926e-01,-5.692989121344453896e-01,-6.372192087847541320e-01,-5.805868239202869319e-01
9.339079335854224562e-01,-7.289705726188803192e-01,-6.857107707307734668e-01,-6.971348929015470652e-01,-6.491830442744344065e-01,-6.353896492579398370e-01,-6.588977396912604201e-01,-7.091048642816366598e-01,-6.161786159119588824e-01,-6.650064163757167801e-01,-6.424519656320156757e-01
1.226267362766765956e+00,-7.562206380528128102e-01,-6.726840761879115949e-01,-6.777055947618768617e-01,-7.590166005747378541e-01,-6.690233007968675594e-01,-6.434577937411739557e-01,-6.640866126018711846e-01,-6.030073806186311280e-01,-6.357935185351966112e-01,-6.423430220708287175e-01
1.651261633182439237e+00,-8.099493925842551345e-01,-7.197300510548596542e-01,-7.300425518692381655e-01,-7.982270284581786113e-01,-7.382133976887915727e-01,-8.006107910974022968e-01,-7.536598611090555844e-01,-6.306859798246968740e-01,-7.679914117765138659e-01,-7.592646385893877525e-01
3.389068209431077561e-01,-5.523830062521832840e-01,-5.741454906824116078e-01,-5.926280681146746110e-01,-6.296161315600714570e-01,-6.186716604896478344e-01,-5.288773511205844269e-01,-5.957691688383933704e-01,-5.860950179636192914e-01,-6.456900792181019533e-01,-6.052907245936327563e-01
3.606262055830076751e-01,-7.056257227648903285e-01,-6.719695926294041444e-01,-6.354791311705962897e-01,-6.770472473497088917e-01,-6.571507660739802636e-01,-7.311974638424894035e-01,-6.599668486799429301e-01,-6.335147766784162693e-01,-6.645361462953592868e-01,-6.876461609952931875e-01
-1.170821582852872855e-01,-5.942751896725355643e-01,-5.597709573497511304e-01,-5.675745932113819281e-01,-5.141964760863840800e-01,-5.733244744818328797e-01,-5.598796093717381961e-01,-5.617748704530144410e-01,-5.440075734519004280e-01,-6.194476467893699212e-01,-5.518697212004785024e-01
