hidden0,hidden1,hidden2,hidden3,hidden4,hidden5,hidden6,hidden7,hidden8,hidden9,hidden10
1.206338010968793784e-01,-3.541351543077709829e-01,2.696770617565596995e-01,-2.900149050397228812e-01,4.605938559142522259e-02,-2.306281842407281180e-01,1.671677945584584823e-01,1.287645044291915175e-01,1.430172262427681917e-01,-7.265990082162188113e-01,-1.980428208126107925e-01
4.164322634668168321e-01,-6.326708153952252944e-01,-7.563644143454948399e-01,-6.313327291637946814e-01,-6.436747061147609639e-01,-6.532434925778389800e-01,-7.302782807574577095e-01,-8.476500574549349354e-01,-6.030896931909575098e-01,-6.784272794883331459e-01,-5.204322589040653035e-01
2.826893374158967465e-01,-7.237296235555010782e-01,3.472421655306506261e-01,-2.941447929833718722e-01,-1.299743634677202886e-01,3.857064606809851304e-01,-1.455527461466228634e-01,7.326029682961504585e-01,-1.059332356026867705e+00,3.304009661800205166e-01,-7.784070546324161066e-01
4.083172519486242408e-02,8.847089500903339288e-02,7.196288891854978054e-02,-7.557386567952698031e-02,3.890476642931596507e-02,-2.700854745681032232e-01,1.323122871995336403e-01,-2.091644505595322556e-01,4.399525539827695564e-01,-5.183648277482653111e-01,1.097244121417287332e-01
-1.445938027486630244e-02,-3.950990032805283270e-01,-4.293210481319547633e-01,-3.673281452406117475e-01,-3.965836468425691375e-01,-4.405955058841095062e-01,-4.191015433984172645e-01,-4.277846964337808644e-01,-3.621455439813204280e-01,-4.243559987852070781e-01,-3.338897007110844251e-01
8.703682806630759494e-02,-6.334222627585971432e-01,2.819782826096338679e-01,-2.677103344549738306e-01,-1.528842859379076768e-01,1.049201532386711821e-01,-1.142867748265087996e-01,4.965504683593738311e-01,-7.376739522928881243e-01,-9.042787980929789700e-04,-6.451452055159084820e-01
4.203710363899458846e-01,-6.147885358886279183e-01,-7.724840275576898563e-01,-6.820898679248916796e-01,-6.858781709232573132e-01,-6.845140531266650230e-01,-6.819648376601019635e-01,-8.095684361965773679e-01,-5.650248401601727366e-01,-6.493502121966893137e-01,-5.453428348408438930e-01
3.485755007196849470e-02,-5.714321688948937883e-01,-5.012352399465003217e-01,-4.720644334570265888e-01,-4.634886355333471819e-01,-4.165593166017453886e-01,-4.967097688200088346e-01,-4.861560253024784228e-01,-5.702888968411177206e-01,-3.993146804805461914e-01,-4.692560712493060171e-01
4.505465974477017299e-02,-5.185788910164147447e-01,-5.445389883274670551e-01,-5.066083736260560411e-01,-4.636878417686245424e-01,-4.690896913850693961e-01,-5.097271105201464092e-01,-5.101264634797028075e-01,-5.441653887196404860e-01,-3.752843901636873092e-01,-4.825237734756176455e-01
-3.434482161547224299e-01,2.465398090344951831e-01,6.316058324900845899e-02,2.470332773754322087e-01,8.854489142413861369e-02,2.605040651221426362e-01,2.430461256348211141e-02,1.497234262582033959e-01,-6.961366834769726342e-02,5.010186463317202188e-01,4.854788493856880549e-02
1.612166361136881942e-01,-4.786152050316305195e-01,-6.163024245056738515e-01,-5.346612918649219504e-01,-4.713892175542718777e-01,-5.784415043625004138e-01,-5.293031245307533439e-01,-6.222852595154428901e-01,-4.626847684535728700e-01,-5.068420900154455566e-01,-3.831652007329550691e-01
-1.347312985962117538e-03,-3.779369430813976360e-01,-4.861572682645395327e-01,-4.248348346641028228e-01,-3.989141725550015005e-01,-4.437080301554502393e-01,-4.393278090443940576e-01,-5.797725123581931594e-01,-4.003565347884442960e-01,-4.512900148896091812e-01,-3.948226927463862612e-01
-3.135772489690034914e-02,-4.705889281809326752e-01,-2.998218923950060066e-01,-3.886931672981658870e-01,-3.431115025096103666e-01,-2.913115727215783712e-01,-3.689254317003147765e-01,-2.915216806715142384e-01,-4.544312807644874663e-01,-3.120974924032122177e-01,-3.745282681801926916e-01
2.570676557161484799e-01,-5.540930461368224202e-01,-7.306151631494814946e-01,-5.211637222346860998e-01,-5.330584198712327026e-01,-6.103699318778704752e-01,-6.003137658520122377e-01,-7.314265880736757763e-01,-5.461438049619359303e-01,-5.653074596543405939e-01,-4.839121839048220464e-01
9.838403741733109387e-02,-5.256590878099334230e-01,-5.768282848428352150e-01,-4.810745822914290759e-01,-4.640842529449958342e-01,-5.357633966861703456e-01,-5.460163263840080994e-01,-6.243056637797810282e-01,-4.370370903145188723e-01,-4.579056964254442641e-01,-4.421308336053889065e-01
1.294326553149445502e-01,-3.600330045196429296e-01,-4.603176831274923275e-01,-3.992053838086422890e-01,-3.327498464847962745e-01,-4.653781796637893597e-01,-3.572987825022250763e-01,-5.381218582672837591e-01,-2.021971306049032135e-01,-4.909582462190921204e-01,-2.277348189409562351e-01
